SMILES,logp,qed
Oc(c3)ccc(c3)C(O1)C(O)Cc(c(O)2)c(cc(O)c2)1,1.8405,0.636809949
Oc(c3)cc(O1)c(c3)CC(O)C1c(c2)cc(O)c(O)c2,1.8405,0.595710465
Oc(c3)ccc(c3)C([H])(O1)C([H])(O)Cc(c(O)2)c(cc(O)c2)1,1.8405,0.636809949
Oc(c3)ccc(c3)C(O1)C(O)C(O)c(c2)c(cc(O)c2)1,1.6258,0.634265985
Oc(c3)ccc(c3)C(O1)C(O)C(O)c(c2)c(cc(O)c2)1,1.6258,0.634265985
Oc(c3)ccc(c3)C(O1)C(O)C(O)c(c2)c(cc(O)c2)1,1.6258,0.634265985
c(c3OC)(O)cc(O1)c(c3O)C(C([C@H]1c(c2)cc(O)c(O)c2)OC(C)=O)=O,1.7657,0.465280294
c(OC)(c(O)1)c(O)cc(C(O2)=C(C(c(c(O)3)c2c(c(OC)c3)O)=O)OC)c1,2.3082,0.505085851
c(c(OC)1)(c(OC)cc(C(O2)=C(C(c(c3O)c2cc(c3O)O)=O)OC)c1)O,2.3082,0.505085851
c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c(OC)2)cc(O)c(O)c2)OC)=O,2.3082,0.505085851
c(OC)(c(O)1)c(O)cc(C(O2)=C(C(c(c(O)3)c2c(c(O)c3)OC)=O)OC)c1,2.3082,0.539932927
O(C(c(c4)cc(OC)cc(O)4)3)c(c2OC)c(C(C3O)=O)c(c(c21)OCO1)O,1.521,0.731178495
c(c1O)(O)c(OC)ccc1C(O2)=C(C(c(c3O)c2cc(c3O)OC)=O)OC,2.3082,0.505085851
c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c(O)2)cc(O)c(OC)c2)OC)=O,2.3082,0.505085851
O(C(c(c3)cc(O)c(O)c3)=1)c(c2OC)c(c(c(c2OC)O)O)C(C1OC)=O,2.3082,0.505085851
c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c(O)2)cc(OC)c(O)c2)OC)=O,2.3082,0.539932927
